image,label
102.jpg,0
108.jpg,1
109.jpg,1
111.jpg,0
121.jpg,0
122.jpg,0
126.jpg,0
127.jpg,0
130.jpg,1
133.jpg,0
134.jpg,1
135.jpg,0
137.jpg,0
139.jpg,0
143.jpg,1
152.jpg,0
153.jpg,1
159.jpg,1
168.jpg,0
173.jpg,0
175.jpg,0
188.jpg,0
204.jpg,1
21.jpg,0
210.jpg,1
216.jpg,0
228.jpg,1
234.jpg,1
235.jpg,1
238.jpg,1
239.jpg,0
24.jpg,1
243.jpg,1
257.jpg,1
264.jpg,1
274.jpg,1
285.jpg,0
291.jpg,0
297.jpg,1
298.jpg,0
299.jpg,0
304.jpg,1
310.jpg,0
316.jpg,1
317.jpg,0
32.jpg,1
320.jpg,1
321.jpg,0
324.jpg,1
326.jpg,0
33.jpg,0
332.jpg,1
335.jpg,0
336.jpg,1
338.jpg,0
350.jpg,1
353.jpg,1
360.jpg,0
368.jpg,0
379.jpg,1
385.jpg,1
387.jpg,1
39.jpg,1
394.jpg,1
398.jpg,0
4.jpg,1
402.jpg,1
418.jpg,0
42.jpg,1
426.jpg,0
432.jpg,0
433.jpg,1
435.jpg,0
440.jpg,1
454.jpg,0
455.jpg,1
457.jpg,1
458.jpg,1
46.jpg,0
466.jpg,0
469.jpg,0
473.jpg,1
475.jpg,0
477.jpg,0
48.jpg,0
480.jpg,1
481.jpg,1
485.jpg,0
49.jpg,1
490.jpg,0
494.jpg,1
5.jpg,1
505.jpg,1
515.jpg,1
520.jpg,1
523.jpg,0
526.jpg,0
532.jpg,1
533.jpg,1
537.jpg,1
544.jpg,1
545.jpg,1
546.jpg,1
554.jpg,1
555.jpg,0
559.jpg,1
566.jpg,0
576.jpg,0
596.jpg,0
602.jpg,1
613.jpg,0
62.jpg,0
620.jpg,0
631.jpg,1
633.jpg,1
634.jpg,1
642.jpg,0
648.jpg,0
65.jpg,1
657.jpg,1
658.jpg,1
660.jpg,1
664.jpg,0
665.jpg,0
67.jpg,1
670.jpg,1
673.jpg,0
689.jpg,1
696.jpg,1
7.jpg,1
707.jpg,1
715.jpg,0
719.jpg,0
72.jpg,1
727.jpg,0
73.jpg,1
731.jpg,0
736.jpg,0
742.jpg,1
744.jpg,0
748.jpg,1
749.jpg,0
754.jpg,1
763.jpg,1
767.jpg,0
768.jpg,1
769.jpg,1
770.jpg,0
785.jpg,0
786.jpg,1
792.jpg,0
799.jpg,0
801.jpg,0
802.jpg,1
808.jpg,0
811.jpg,1
82.jpg,1
824.jpg,1
825.jpg,0
827.jpg,1
829.jpg,0
840.jpg,0
842.jpg,0
851.jpg,1
853.jpg,1
854.jpg,0
860.jpg,1
873.jpg,0
875.jpg,1
881.jpg,0
884.jpg,0
889.jpg,1
890.jpg,0
896.jpg,0
897.jpg,1
899.jpg,0
91.jpg,1
94.jpg,1
95.jpg,1
98.jpg,0
